,id_buque,max_containers,max_ton
4,4,12853.0,80873.0
17,17,12828.0,92920.0
20,20,11775.0,120647.0
23,23,12170.0,133012.0
24,24,10673.0,141691.0
25,25,10712.0,113908.0
26,26,6206.0,108484.0
27,27,10805.0,128236.0
29,29,8470.0,142553.0
34,34,9431.0,108918.0
38,38,13906.0,108088.0
44,44,12073.0,105347.0
45,45,13432.0,138876.0
49,49,14660.0,147528.0
56,56,9568.0,138908.0
59,59,6207.0,127705.0
62,62,13371.0,143235.0
66,66,9266.0,110426.0
71,71,12639.0,89633.0
74,74,6249.0,89878.0
78,78,8659.0,85480.0
79,79,6600.0,126720.0
80,80,12412.0,112531.0
89,89,12345.0,107560.0
93,93,7559.0,89854.0
94,94,14590.0,134746.0
101,101,7301.0,127694.0
106,106,9934.0,98312.0
111,111,9676.0,131822.0
116,116,9250.0,144164.0
119,119,6868.0,127102.0
121,121,10055.0,118740.0
124,124,9586.0,139309.0
125,125,12465.0,123427.0
134,134,6160.0,134692.0
136,136,9006.0,86111.0
137,137,11877.0,140426.0
140,140,9548.0,97271.0
149,149,14531.0,94189.0
164,164,7642.0,87416.0
165,165,10962.0,113194.0
166,166,8438.0,103940.0
167,167,8142.0,118735.0
168,168,6968.0,99037.0
170,170,7635.0,111941.0
171,171,9611.0,147312.0
180,180,13885.0,97450.0
183,183,14648.0,90191.0
184,184,7602.0,132884.0
190,190,14600.0,118924.0
191,191,14837.0,97866.0
195,195,6926.0,139300.0
197,197,8628.0,133839.0
199,199,14876.0,143549.0
202,202,14922.0,125857.0
205,205,11036.0,119351.0
208,208,8282.0,87392.0
210,210,6640.0,88427.0
216,216,14606.0,97725.0
218,218,1342.0,122258.0
220,220,6477.0,149912.0
224,224,13002.0,147828.0
230,230,6099.0,122989.0
231,231,8383.0,99464.0
234,234,11211.0,115463.0
235,235,6361.0,101829.0
236,236,6520.0,114011.0
238,238,14312.0,143280.0
239,239,9798.0,82537.0
240,240,6737.0,113805.0
243,243,12367.0,131356.0
244,244,13020.0,92264.0
245,245,12062.0,133964.0
249,249,7567.0,84204.0
