,id_buque,fecha_atraque
0,202,2018-04-20 06:06:35
1,76,2013-02-27 18:30:10
2,43,2020-01-30 22:55:13
3,207,2015-05-06 12:46:36
4,146,2019-05-20 15:02:21
5,229,2011-08-17 07:29:06
7,145,2017-12-24 07:51:47
8,79,2013-04-29 06:37:44
9,77,2018-08-11 07:41:45
10,153,2019-06-29 02:45:33
11,192,2018-02-28 07:06:16
14,78,2017-06-17 12:12:29
15,167,2012-04-04 09:16:24
19,41,2019-03-22 09:04:08
21,176,2020-04-11 20:34:46
23,184,2017-12-12 00:17:28
24,166,2011-08-22 23:52:28
25,19,2017-08-09 02:19:41
26,35,2019-05-26 15:25:22
28,242,2020-07-27 09:06:46
29,140,2011-12-10 04:14:38
31,201,2019-10-23 18:39:01
32,155,2019-03-04 01:49:48
33,90,2018-09-27 03:47:38
34,64,2010-06-14 12:17:28
35,18,2013-08-25 09:17:15
36,59,2012-06-09 03:12:41
37,35,2014-08-06 13:46:49
38,132,2011-06-04 05:02:34
39,231,2017-01-24 07:16:18
40,155,2016-04-14 22:11:07
42,181,2019-03-29 03:34:06
44,98,2016-06-30 04:02:02
46,176,2016-04-21 08:32:12
48,29,2015-12-18 02:20:55
49,241,2012-07-26 01:54:43
52,30,2012-09-25 23:55:54
53,101,2020-09-01 18:29:23
54,230,2015-05-12 07:19:14
55,104,2014-12-21 22:21:23
56,137,2015-09-16 11:19:53
58,245,2019-09-05 03:05:51
60,128,2013-08-26 22:46:16
61,70,2019-01-31 10:28:50
62,203,2012-02-18 08:38:35
63,117,2015-01-11 15:16:01
64,228,2017-09-27 05:08:30
68,46,2010-08-07 14:45:10
69,190,2013-09-21 01:34:37
73,81,2012-11-17 07:07:15
74,177,2017-10-15 06:29:50
75,29,2019-03-16 21:55:49
76,149,2017-01-25 03:34:12
77,117,2014-12-30 21:51:45
78,186,2019-07-31 22:56:09
79,66,2010-09-22 06:16:17
81,148,2013-12-13 17:00:07
82,4,2014-07-05 02:56:31
83,96,2016-04-21 05:46:57
84,115,2016-10-09 23:34:24
85,134,2017-03-04 04:19:10
86,189,2010-03-19 23:07:33
87,220,2011-07-18 13:18:04
89,71,2012-05-30 15:32:39
90,143,2019-03-21 01:36:28
91,165,2011-07-26 01:14:18
92,189,2019-10-17 15:54:18
94,230,2010-11-06 16:28:52
95,239,2016-12-25 05:03:19
97,5,2014-08-30 06:37:19
98,149,2012-09-04 22:48:17
99,145,2013-07-26 06:45:21
101,82,2012-12-08 00:07:00
102,19,2014-03-21 04:58:39
103,243,2016-07-15 14:28:05
104,222,2017-02-14 21:56:27
106,164,2017-05-19 23:17:39
107,10,2020-08-07 04:30:03
108,184,2017-07-27 19:51:48
110,72,2012-06-27 21:55:54
112,118,2014-06-28 20:35:40
113,246,2019-02-19 02:14:08
115,112,2012-03-23 16:16:53
117,102,2017-02-09 21:50:19
118,20,2013-03-25 23:52:46
120,214,2016-07-16 00:43:30
121,144,2018-11-02 08:15:23
122,85,2013-01-12 10:08:13
123,184,2018-01-09 09:07:53
125,152,2019-11-25 23:29:58
129,39,2012-11-04 10:40:41
131,30,2015-09-21 08:29:50
132,224,2013-08-12 00:41:31
134,127,2011-07-03 03:35:09
136,115,2011-08-28 05:25:04
137,29,2011-11-21 03:04:28
139,42,2015-05-20 15:15:45
140,55,2018-12-22 18:00:59
141,87,2019-01-05 19:11:37
142,111,2020-07-10 20:56:26
143,195,2015-04-12 01:49:38
144,198,2015-08-22 18:46:19
146,187,2010-11-08 16:33:42
147,153,2012-01-13 07:29:40
148,176,2017-06-13 13:12:45
151,72,2018-01-24 22:50:57
155,31,2013-07-29 17:08:33
156,118,2018-07-08 22:02:32
158,10,2020-03-10 11:36:11
160,217,2013-02-02 03:29:01
161,103,2016-05-27 19:07:36
165,178,2014-07-27 12:41:09
166,110,2011-06-29 08:38:14
170,174,2017-03-21 21:44:15
171,18,2011-03-06 16:50:45
172,30,2014-02-04 23:00:16
173,158,2015-05-26 20:38:50
174,88,2015-12-28 22:11:40
177,242,2017-09-22 14:26:16
178,106,2016-10-21 01:38:25
179,152,2010-05-11 22:19:11
180,239,2018-07-06 22:16:39
184,159,2020-08-19 13:30:38
185,156,2013-06-18 07:54:37
189,140,2016-04-27 13:08:05
191,192,2014-11-09 20:45:05
192,77,2011-08-08 03:47:36
193,129,2014-11-12 12:01:25
194,147,2017-02-10 14:47:09
195,27,2012-08-11 18:46:13
196,52,2013-08-21 00:14:12
198,147,2011-11-13 17:48:15
201,123,2010-06-02 12:56:51
202,25,2019-05-20 20:38:51
205,76,2015-04-29 08:42:43
207,230,2012-06-21 03:27:59
208,158,2011-11-12 11:19:25
209,118,2020-02-26 05:46:15
211,170,2013-10-27 18:19:08
212,206,2012-06-27 15:20:50
213,62,2014-01-04 23:22:27
215,200,2016-03-22 13:59:32
216,47,2011-07-27 23:45:41
218,201,2011-01-09 02:43:25
219,46,2020-03-18 10:24:46
220,82,2019-11-11 14:41:34
221,185,2016-11-14 03:19:27
222,80,2017-12-04 23:56:11
223,75,2013-11-15 05:24:18
224,196,2012-11-11 01:48:27
225,1,2016-08-20 23:18:56
226,82,2015-04-13 02:06:49
227,169,2011-11-29 07:23:58
228,218,2015-06-25 19:46:24
229,219,2014-10-19 08:06:22
230,71,2010-03-11 00:26:24
231,27,2015-08-09 18:41:46
232,140,2018-02-17 12:50:16
233,90,2012-03-05 16:44:00
236,180,2020-02-09 14:53:37
238,78,2014-12-10 12:58:57
239,141,2018-09-08 22:43:03
241,44,2018-06-12 17:19:21
242,203,2015-05-27 07:02:54
243,59,2013-06-18 20:23:35
245,178,2012-04-03 07:33:44
246,53,2013-08-22 02:07:11
247,47,2017-08-02 17:21:11
249,98,2015-09-11 20:36:48
